gene_id	WF_38	WF_30	WF_60	WF_4	WF_6	WF_28	WF_23	WF_15	WF_11	WF_36	WF_13	WF_40	WF_34
1410644.3.peg.278	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.279	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.280	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.281	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.294	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.295	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.296	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.297	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.298	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.299	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.300	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.301	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.307	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.308	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.317	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.319	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.325	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.332	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.341	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.351	0	1	0	1	0	0	0	1	0	0	1	0	0
1410644.3.peg.353	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.362	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.377	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.403	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.406	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.407	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.408	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.409	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.413	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.415	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.426	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.428	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.430	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.441	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.443	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.445	1	0	0	0	0	0	1	0	0	1	0	1	0
1410644.3.peg.447	0	0	0	0	0	0	0	0	0	0	0	0	1
1410644.3.peg.450	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.455	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.46	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.466	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.468	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.469	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.48	1	1	1	1	1	1	1	1	1	1	1	1	0
1410644.3.peg.483	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.49	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.490	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.491	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.492	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.510	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.513	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.517	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.520	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.521	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.522	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.530	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.546	0	0	0	1	1	1	1	0	0	1	0	1	1
1410644.3.peg.55	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.554	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.557	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.560	1	1	1	1	1	1	1	0	0	1	0	1	1
1410644.3.peg.568	0	0	1	1	1	1	1	1	1	0	1	1	0
1410644.3.peg.57	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.574	1	1	0	1	0	1	0	1	1	1	1	1	1
1410644.3.peg.575	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.578	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.585	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.588	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.589	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.590	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.591	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.592	0	0	0	0	0	0	0	0	0	0	0	0	0
