gene_id	WF_12	WF_77	WF_38	WF_73	WF_81	WF_30	WF_51	WF_62	WF_16	WF_3	WF_4	WF_82	WF_69	WF_6	WF_2	WF_87	WF_43	WF_88	WF_66	WF_55	WF_79	WF_57	WF_36	WF_18	WF_14	WF_40	WF_72	WF_34	WF_68	WF_53	WF_10
1121115.4.peg.1104	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0
1121115.4.peg.1105	0	0	1	0	1	1	1	0	0	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0
1121115.4.peg.1106	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	0	1	1	1	0	0	0
1121115.4.peg.1107	0	0	1	0	1	1	0	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0
1121115.4.peg.1108	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0
1121115.4.peg.1109	0	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0
1121115.4.peg.1110	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	1	1	0	1	1	1	0	0	1
1121115.4.peg.1111	0	1	1	0	1	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0
1121115.4.peg.1112	0	1	1	1	1	1	0	0	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0	0
1121115.4.peg.1113	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0
1121115.4.peg.1114	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0
1121115.4.peg.1115	0	1	1	0	1	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0
1121115.4.peg.1116	0	1	1	1	1	1	0	0	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0	0
1121115.4.peg.1117	0	1	1	0	0	1	0	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0
1121115.4.peg.1118	0	1	1	1	0	1	0	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0
1121115.4.peg.1119	0	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0
1121115.4.peg.1120	0	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0
1121115.4.peg.1121	0	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0
1121115.4.peg.1122	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1123	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1124	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1125	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
1121115.4.peg.1126	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1127	1	0	0	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1
1121115.4.peg.1128	1	0	0	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	0	1	1	0	0	1	1	0	1	0	0	0	1
1121115.4.peg.1129	1	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	1	1
1121115.4.peg.1131	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1132	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1133	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1134	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1135	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1137	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1
1121115.4.peg.1138	1	1	1	0	0	1	0	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	0	0	1
1121115.4.peg.1139	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1
1121115.4.peg.1140	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1
1121115.4.peg.1141	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	0	1	1
1121115.4.peg.1142	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1143	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1144	1	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1
1121115.4.peg.1145	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1
1121115.4.peg.1146	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1
1121115.4.peg.1147	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0
1121115.4.peg.1148	0	1	1	0	1	1	1	0	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0	1
1121115.4.peg.1149	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.115	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1150	1	1	1	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1151	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1152	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
1121115.4.peg.1153	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
1121115.4.peg.1154	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1155	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1156	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1157	1	0	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
1121115.4.peg.1158	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1159	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
1121115.4.peg.1160	1	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1
1121115.4.peg.1161	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
1121115.4.peg.1162	0	0	0	0	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	1	0	0	1	1	1	0	1
1121115.4.peg.1163	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1
1121115.4.peg.1164	1	0	0	0	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0
1121115.4.peg.1165	1	0	0	0	1	1	0	1	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0
1121115.4.peg.1167	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1
1121115.4.peg.1169	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1172	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
1121115.4.peg.1174	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1175	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1179	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0
1121115.4.peg.118	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1180	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	1	1	1	0	0	1
1121115.4.peg.1181	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	1
1121115.4.peg.1182	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1
1121115.4.peg.1183	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1
1121115.4.peg.1184	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1
1121115.4.peg.1185	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1
1121115.4.peg.1186	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121115.4.peg.1187	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	0	1	1	0	1	1
1121115.4.peg.1188	1	1	1	0	1	1	0	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1
1121115.4.peg.1189	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	1
1121115.4.peg.1190	1	1	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1
1121115.4.peg.1191	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	1	0	0	1	1	1	0	0	1	0	0	1
1121115.4.peg.1192	1	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1
1121115.4.peg.1193	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	1
1121115.4.peg.1194	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1
1121115.4.peg.1195	1	1	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1
1121115.4.peg.1196	1	1	1	0	1	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1
1121115.4.peg.1197	1	1	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1
1121115.4.peg.1198	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1
1121115.4.peg.1199	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1
1121115.4.peg.1200	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	1
1121115.4.peg.1201	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1
1121115.4.peg.1202	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1
1121115.4.peg.1207	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1
1121115.4.peg.1208	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
1121115.4.peg.1209	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1
1121115.4.peg.1210	1	0	0	0	1	0	1	0	1	0	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	0	1	1
1121115.4.peg.1211	1	0	0	1	1	0	1	0	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1
1121115.4.peg.1212	1	0	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	0	1	1
