L1	L2	L3	L4	L5	L6	L7	variable	value
Bacteria	Actinobacteria	Coriobacteridae	Coriobacterineae	Coriobacteriaceae	Collinsella	Collinsella Collinsella sp. MS5	WF_33	0
Bacteria	Actinobacteria	Coriobacteridae	Coriobacterineae	Coriobacteriaceae	Collinsella	Collinsella 47FAA	WF_33	0.0123734533183352
Bacteria	Actinobacteria	Coriobacteridae	Coriobacterineae	Coriobacteriaceae	Collinsella	Collinsella Collinsella stercoris	WF_33	0
Bacteria	Actinobacteria	Coriobacteridae	Coriobacterineae	Coriobacteriaceae	Collinsella	Collinsella Collinsella tanakaei	WF_33	0
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	Coprobacillus 1	WF_33	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus Coprococcus catus	WF_33	0.0191226096737908
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus Coprococcus comes	WF_33	0.015748031496063
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus Coprococcus eutactus	WF_33	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus Coprococcus sp. ART55/1	WF_33	0.00112485939257593
Bacteria	Actinobacteria	Coriobacteridae	Coriobacterineae	Coriobacteriaceae	Senegalimassilia	Senegalimassilia Senegalimassilia anaerobia	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Corynebacterineae	Corynebacteriaceae	Corynebacterium	Corynebacterium Corynebacterium argentoratense	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Corynebacterineae	Corynebacteriaceae	Corynebacterium	Corynebacterium Corynebacterium casei	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Corynebacterineae	Corynebacteriaceae	Corynebacterium	Corynebacterium Corynebacterium durum	WF_33	0
Bacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio Desulfovibrio desulfuricans subsp. desulfuricans	WF_33	0
Bacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio Desulfovibrio piger	WF_33	0
Bacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio syn3	WF_33	0
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	Dialister Dialister invisus	WF_33	0.00562429696287964
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	Dialister Dialister succinatiphilus	WF_33	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea Dorea sp. AGR2135	WF_33	0.0078740157480315
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea Dorea longicatena	WF_33	0.00224971878515186
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea Dorea longicatena.1	WF_33	0.0258717660292463
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Dysgonomonas	Dysgonomonas Dysgonomonas mossii	WF_33	0
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter	Edaphobacter Edaphobacter aggregans	WF_33	0
Bacteria	Actinobacteria	Coriobacteridae	Coriobacterineae	Coriobacteriaceae	Eggerthella	Eggerthella Eggerthella lenta	WF_33	0
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter Enterobacter sp. MGH 24	WF_33	0
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter Enterobacter cloacae subsp. cloacae	WF_33	0
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter Enterobacter cloacae	WF_33	0
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter Enterobacter sp. SST3	WF_33	0
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter Enterobacter cloacae subsp. cloacae.1	WF_33	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus Enterococcus faecalis	WF_33	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus Enterococcus faecium	WF_33	0
Bacteria	Actinobacteria	Coriobacteridae	Coriobacterineae	Coriobacteriaceae	Enterorhabdus	Enterorhabdus Enterorhabdus caecimuris	WF_33	0
Bacteria	Actinobacteria	Coriobacteridae	Coriobacterineae	Coriobacteriaceae	Enterorhabdus	Enterorhabdus Enterorhabdus mucosicola	WF_33	0
Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Enterovibrio	Enterovibrio Enterovibrio calviensis	WF_33	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium 31	WF_33	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptoclostridium	Peptoclostridium Peptoclostridium difficile	WF_33	0
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae		 53	WF_33	0
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia Escherichia albertii	WF_33	0
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia Escherichia sp. KTE11	WF_33	0
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia Escherichia sp. KTE114	WF_33	0
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia Escherichia coli	WF_33	0
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia Escherichia fergusonii	WF_33	0
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella Holdemanella biformis	WF_33	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium [Eubacterium] cellulosolvens	WF_33	0
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae		 [Eubacterium] dolichum	WF_33	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium [Eubacterium] eligens	WF_33	0.00112485939257593
Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium [Eubacterium] hallii	WF_33	0.0168728908886389
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia Escherichia coli.1	WF_33	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium Eubacterium ramulus	WF_33	0.00449943757030371
Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium Eubacterium rectale	WF_33	0.0742407199100112
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	Ruminiclostridium [Eubacterium] siraeum	WF_33	0.00337457817772778
Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium Eubacterium ventriosum	WF_33	0.00112485939257593
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium Faecalibacterium prausnitzii	WF_33	0.0123734533183352
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium Faecalibacterium prausnitzii.1	WF_33	0.0168728908886389
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium Faecalibacterium prausnitzii.2	WF_33	0.0292463442069741
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium Faecalibacterium prausnitzii.3	WF_33	0.00449943757030371
