# Pathway	WF_34_qc_merged	WF_31_qc_merged	WF_22_qc_merged	WF_15_qc_merged	WF_17_qc_merged	WF_40_qc_merged	WF_33_qc_merged	WF_23_qc_merged	WF_10_qc_merged	WF_1_qc_merged	WF_25_qc_merged	WF_203_qc_merged	WF_3_qc_merged	WF_32_qc_merged	WF_13_qc_merged	WF_39_qc_merged	WF_2_qc_merged	WF_30_qc_merged	WF_36_qc_merged	WF_29_qc_merged	WF_20_qc_merged	WF_27_qc_merged	WF_37_qc_merged	WF_28_qc_merged	WF_35_qc_merged	WF_19_qc_merged	WF_18_qc_merged	WF_201_qc_merged	WF_38_qc_merged	WF_202_qc_merged	WF_11_qc_merged	WF_26_qc_merged	WF_204_qc_merged	WF_14_qc_merged	WF_24_qc_merged	WF_21_qc_merged	WF_16_qc_merged	WF_12_qc_merged
PWY-5313	170.654	671.735	550.047	321.484	586.714	334.695	501.028	506.855	754.575	0	591.686	346.649	595.042	515.783	407.449	627.373	651.134	478.907	238.597	566.255	538.808	593.634	632.423	632.972	541.159	589.084	455.039	319.428	422.53	698.939	354.352	570.839	563.789	651.381	530.935	0	445.25	711.576
PWY-5315	0	0	1.17244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5316	480.578	532.262	526.52	438.44	441.963	438.073	502.797	441.899	481.73	0	535.187	484.301	446.582	443.719	446.585	517.469	415.332	422.02	514.275	466.532	490.485	464.536	503.23	362.159	454.333	443.277	460.564	561.77	511.333	475.635	485.804	443.643	429.161	462.082	591.827	0	428.661	452.626
PWY-5317	0.434813	0	0	0	0.862247	0.512669	0.347734	0.206011	0	0	0.0533356	0	0	0.0266427	0	0.984417	0.021256	0.399213	0.26487	0	0.107419	0	0	0.0453086	0	2.59915	0.789824	0.180723	0.433512	0	0	4.66822	0	0	0	0	0	0.921843
PWY-5318	1.23927	0	0	0	0.142053	2.89252	0	0.566968	0.101809	0	0.123058	0	0	0	0	0	0	0	0.362454	0	0	0.577063	0	0.293735	0	0	0.0520879	0	2.00631	0.624569	0.155346	0.269757	0	0	0	0	0	0.0936694
PWY-5319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55162	0	8.32769	0	0	0	0	2.60736	0	0	23.1024	0	0	0	0	0	0	0	0	0	16.1192	0
PWY-5320	29.4592	51.2173	252.495	27.8977	244.18	18.3433	25.4975	31.566	309.759	0	34.2953	40.6105	258.715	114.987	35.7825	81.5864	199.236	129.956	22.9072	61.5943	33.8675	32.6994	76.2193	71.2116	221.114	166.676	51.0575	17.2367	38.5177	323.091	27.9328	33.1161	42.4143	326.351	81.9655	0	163.165	350.745
PWY-5321	29.4592	51.2173	252.495	27.8977	244.18	18.3433	25.4975	31.566	309.759	0	34.2953	40.6105	258.715	114.987	35.7825	81.5864	199.236	129.956	22.9072	61.5943	33.8675	32.6994	76.2193	71.2116	221.114	166.676	51.0575	17.2367	38.5177	323.091	27.9328	33.1161	42.4143	326.351	81.9655	0	163.165	350.745
PWY-5327	326.117	466.771	451.787	434.686	472.068	383.485	432.499	402.914	483.495	0	526.693	468.108	456.82	468.272	433.251	533.338	497.264	460.21	313.218	482.151	510.019	512.253	495.899	474.022	464.265	509.99	498.352	370.328	367.904	471.218	420.008	516.197	523.462	496.582	486.539	0	443.06	519.191
PWY-5328	966.025	938.911	1025.96	1135.12	1072.4	1001.41	1057.79	993.1	1007.37	2529.92	1059.69	1050.26	1022.11	1142.56	1052.47	1031.74	1050.54	1142.36	967.92	1008.26	1076.02	1073.9	1013.81	1050.61	1028.43	1068.43	1101.14	891.805	973.315	1118.33	1118.71	1055.46	1026.05	1027.72	995.962	0	1083.95	1021.52
PWY-5329	2.75514	0	0	0	0	0	0	0	0	0	3.84725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5331	0	0	0.111795	0.309664	0.157792	0	0	0	0	0	0.132667	0.433215	0	0	0	0	0	0	0	0.0575992	0	0.315169	0	0.0503028	0	0	0	0	0	0	0	0	0	0.0228788	0	0	0	0.0332022
PWY-5337	0	0	0	0	0	0	0	0	0	0	0.110567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5338	29.4592	51.2173	252.495	27.8977	244.18	18.3433	25.4975	31.566	309.759	0	34.2953	40.6105	258.715	114.987	35.7825	81.5864	199.236	129.956	22.9072	61.5943	33.8675	32.6994	76.2193	71.2116	221.114	166.676	51.0575	17.2367	38.5177	323.091	27.9328	33.1161	42.4143	326.351	81.9655	0	163.165	350.745
PWY-5339	29.4592	51.2173	252.495	27.8977	244.18	18.3433	25.4975	31.566	309.759	0	34.2953	40.6105	258.715	114.987	35.7825	81.5864	199.236	129.956	22.9072	61.5943	33.8675	32.6994	76.2193	71.2116	221.114	166.676	51.0575	17.2367	38.5177	323.091	27.9328	33.1161	42.4143	326.351	81.9655	0	163.165	350.745
PWY-5340	464.921	483.752	957.927	991.254	1043.96	604.087	669.468	1099.71	1324.65	0	1605.92	1424.17	1286.53	1069.75	800.406	1186.3	1383.85	1258.57	438.571	728.158	946.652	691.408	1186.71	1037.66	1231.71	1173.43	1537.08	586.603	625.172	802.693	903.744	794.044	885.653	1221.58	1177.16	0	1328.27	1275.91
PWY-5342	29.4592	51.2173	252.495	27.8977	244.18	18.3433	25.4975	31.566	309.759	0	34.2953	40.6105	258.715	114.987	35.7825	81.5864	199.236	129.956	22.9072	61.5943	33.8675	32.6994	76.2193	71.2116	221.114	166.676	51.0575	17.2367	38.5177	323.091	27.9328	33.1161	42.4143	326.351	81.9655	0	163.165	350.745
PWY-5343	29.4592	51.2173	252.495	27.8977	244.18	18.3433	25.4975	31.566	309.759	0	34.2953	40.6105	258.715	114.987	35.7825	81.5864	199.236	129.956	22.9072	61.5943	33.8675	32.6994	76.2193	71.2116	221.114	166.676	51.0575	17.2367	38.5177	323.091	27.9328	33.1161	42.4143	326.351	81.9655	0	163.165	350.745
PWY-5344	11.4105	141.935	106.26	78.9241	106.757	50.4765	142.459	54.391	120.797	0	77.7282	50.1202	83.4966	75.9007	154.453	89.059	111.203	83.4556	27.6948	87.9626	157.679	139.671	77.9549	73.0205	59.1108	108.829	59.5022	55.8535	47.3228	76.7554	100.765	183.889	43.2713	115.131	114.77	0	57.7502	112.841
PWY-5345	602.486	415.08	463.07	520.1	446.758	542.593	470.792	579.187	490.057	0	597.481	526.827	505.216	415.144	503.336	489.061	481.236	475.683	561.119	396.997	415.612	377.937	506.467	456.21	523.063	479.183	508.453	631.921	524.503	378.93	506.982	382.462	455.18	433.193	498.993	0	520.262	443.762
PWY-5347	1032.27	621.54	649.578	695.789	611.934	866.489	662.851	694.894	603.221	0	590.887	709.287	648.146	576.436	676.617	653.656	575.892	568.348	961.484	636.747	539.898	517.939	646.148	651.703	644.588	610.068	580.129	1075.66	806.664	553.651	683.865	577.85	803.713	577.922	630.915	0	602.118	585.746
PWY-5350	2.17025	1.56553	0	0	0	0	8.0876	9.26457	0	0	1.98542	0	0	1.52682	0	0	0.205411	0	8.26394	0	0	0	0	0	0	0	24.41	0	0	0	0	5.97883	1.24895	0	0	0	0	0.222689
