variable	Eubacterium	Blautia	Bifidobacterium	Faecalibacterium	Ruminococcus	Bacteroides	Var.8	Dorea	Coprococcus	Collinsella	Prevotella	Other
WF_5	0.282366071428571	0.127232142857143	0.0736607142857143	0.107142857142857	0.172991071428571	0.0357142857142857	0.0535714285714286	0.0334821428571429	0.0178571428571429	0.0200892857142857	0	0.0758928571428571
WF_78	0.0529217199558986	0.227122381477398	0.0253583241455347	0.0705622932745314	0.0121278941565601	0.0187431091510474	0.0584343991179713	0.0463065049614112	0.0275633958103638	0.0463065049614112	0.270121278941566	0.144432194046307
WF_16	0.237402015677492	0.236282194848824	0.0996640537513998	0.0447928331466965	0.0907054871220605	0.00111982082866741	0.0750279955207167	0.0503919372900336	0.0201567749160134	0.0436730123180291	0	0.100783874580067
WF_30	0.228956228956229	0.15712682379349	0.113355780022447	0.108866442199776	0.037037037037037	0.0134680134680135	0.0280583613916947	0.0718294051627385	0.0774410774410774	0.021324354657688	0.0516273849607183	0.0909090909090909
WF_49	0.182628062360802	0.120267260579065	0.0066815144766147	0.360801781737194	0.0835189309576837	0.0523385300668151	0.0723830734966592	0.0133630289532294	0.0111358574610245	0.032293986636971	0	0.0645879732739421
WF_10	0.106094808126411	0.111738148984199	0	0.0383747178329571	0.211060948081264	0.0406320541760722	0.0564334085778781	0.036117381489842	0.116252821670429	0.0733634311512415	0	0.209932279909707
WF_56	0.262806236080178	0.191536748329621	0.0044543429844098	0.0879732739420935	0.251670378619154	0.00779510022271715	0.0467706013363029	0.0389755011135857	0.022271714922049	0.0278396436525612	0	0.0579064587973274
WF_24	0.160893854748603	0.154189944134078	0.13854748603352	0.125139664804469	0.129608938547486	0.00558659217877095	0.107262569832402	0.0290502793296089	0.0592178770949721	0.0111731843575419	0	0.0793296089385475
WF_75	0.0801781737193764	0.249443207126949	0.0256124721603563	0.10913140311804	0.0645879732739421	0.010022271714922	0.105790645879733	0.0679287305122494	0.022271714922049	0.032293986636971	0.0311804008908686	0.201559020044543
WF_69	0.0122358175750834	0.289210233592881	0.152391546162403	0.220244716351502	0.163515016685206	0.0278086763070078	0.0222469410456062	0.00556173526140156	0.00111234705228031	0.00111234705228031	0.0133481646273637	0.0912124582869855
WF_14	0.154708520179372	0.169282511210762	0	0.0885650224215247	0.109865470852018	0.0224215246636771	0.118834080717489	0.0257847533632287	0.0896860986547085	0.0414798206278027	0	0.179372197309417
WF_17	0.185555555555556	0.152222222222222	0.106666666666667	0.0833333333333333	0.173333333333333	0.03	0.0277777777777778	0.06	0.0188888888888889	0.0444444444444444	0	0.117777777777778
